,0
 into,42
 behind,43
 into,43
 behind,44
 behind,44
 on,44
 on,44
 on,44
 on,44
 on,44
 on,44
 mustang,44
 quickly,44
 get,44
 mustang,44
 high,45
 carrying,45
 store,45
 carrying,46
 on,46
 on,46
 at,46
 on,46
 on,46
 get,46
 into,46
 pace,47
 drives,47
 mustang,47
 get,47
 into,47
 mustang,47
 at,48
 hot,49
 use,49
 door,49
 running,49
 on,49
 on,49
 at,49
 on,49
 on,49
 running,49
 door,49
 get,50
 at,51
 at,51
 first,52
 first,52
 coach,52
 coach,52
 carrying,52
 carrying,52
 coach,53
 coach,53
 coach,53
 get,53
 hot,54
 hot,54
 another,54
 on,54
 on,54
 on,54
 on,54
 one,55
 at,55
 get,55
 hot,56
 behind,56
 bikes,56
 on,56
 on,56
 on,56
 at,56
 at,56
 at,56
 on,56
 on,56
 on,56
 into,56
 into,56
 hot,57
 bar,57
 honda,57
 seat,57
 door,57
 one,57
 at,57
 at,57
 at,57
 get,57
 bar,57
 door,57
 honda,57
 seat,58
 behind,58
 on,58
 at,58
 at,58
 on,58
 on,59
 at,59
 on,59
 quickly,59
 get,59
 first,60
 first,60
 one,60
 at,60
 at,60
 at,60
 at,60
 quickly,60
 lot,61
 on,61
 on,61
 get,61
 bar,62
 on,62
 at,62
 on,62
 quickly,62
 bar,62
 another,63
 at,63
 quickly,63
 get,63
 into,63
 person,64
 on,64
 on,64
 get,64
 person,64
 coach,65
 door,65
 on,65
 on,65
 on,65
 at,65
 at,65
 on,65
 on,65
 on,65
 get,65
 get,65
 into,65
 door,65
 coach,66
 on,66
 at,66
 on,66
 running,67
 at,67
 running,67
 at,68
 at,68
 get,68
 into,68
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 one,69
 car,69
 at,69
 at,69
 at,69
 at,69
 car,69
 car,69
 get,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 car,69
 windshield,69
 windshield,69
 car,69
 car,69
 drive,70
 at,70
 drive,70
 get,70
 drive,70
 accident,71
 one,71
 on,71
 at,71
 at,71
 at,71
 at,71
 at,71
 on,71
 accident,71
 another,72
 on,72
 on,72
 ride,73
 another,73
 one,73
 on,73
 on,73
 into,73
 ride,73
 door,74
 on,74
 on,74
 on,74
 at,74
 at,74
 on,74
 on,74
 on,74
 door,74
 on,75
 at,75
 at,75
 at,75
 on,75
 into,75
 seat,76
 at,76
 into,76
 seat,77
 at,77
 into,77
 on,78
 on,78
 on,78
 on,78
 drive,79
 lot,79
 at,79
 drive,79
 into,79
 drive,79
 race,79
 another,80
 another,80
 one,80
 one,80
 one,80
 on,80
 on,80
 on,80
 on,80
 on,80
 on,80
 on,80
 at,80
 show,80
 on,80
 on,80
 on,80
 on,80
 on,80
 on,80
 on,80
 into,80
 on,81
 on,81
 into,81
 driving,82
 lot,83
 on,83
 at,83
 at,83
 at,83
 on,83
 driving,84
 crash,84
 lot,84
 on,84
 on,84
 at,84
 at,84
 at,84
 on,84
 on,84
 carrying,85
 door,85
 one,85
 on,85
 on,85
 on,85
 on,85
 get,85
 door,85
